Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,A0A024RBG1,-0.05015087,9.441654,7.740225,3,0.00013659336,0.56738156,0.7300574
HUMAN,A0AAG2UWQ9,-0.10969257,11.23754,9.145857,3,0.00013659336,0.31363937,0.6052315
HUMAN,A0AVT1,-0.12895298,10.899117,9.358443,3,0.00013659336,0.27084184,0.5746278
HUMAN,A0FGR8,-0.038414,8.86204,4.14221,3,0.00013659336,0.3279908,0.6105226
HUMAN,A0JLT2,-0.47635508,7.5379667,19.970808,3,0.00013659336,0.03965629,0.12886874
HUMAN,A0MZ66,-0.025795937,10.180581,14.793172,3,0.00013659336,0.8407272,0.9029409
HUMAN,A2RRP1,-0.07682037,9.9291,11.290567,3,0.00013659336,0.44676638,0.67136806
HUMAN,A3KMH1,-0.31415272,9.960087,17.917103,3,0.00013659336,0.17474177,0.45045134
HUMAN,A3KN83,-0.083379745,9.9902115,9.151299,3,0.00013659336,0.30070314,0.5946301
HUMAN,A4D1E9,-0.09418392,8.778037,15.405921,3,0.00013659336,0.57988024,0.7362597
HUMAN,A4D1P6,-0.28307533,9.187198,21.149374,3,0.00013659336,0.22707388,0.5254653
HUMAN,A5PLN9,-0.027954102,8.305826,19.901052,3,0.00013659336,0.8677813,0.92008334
HUMAN,A5YKK6,-0.13464165,11.459919,11.378647,3,0.00013659336,0.30568817,0.59836835
HUMAN,A6NCE7;Q9GZQ8,-0.09196377,9.527146,7.5073423,3,0.00013659336,0.23101647,0.530263
HUMAN,A6NDG6,-0.078933716,10.12308,9.555284,3,0.00013659336,0.473145,0.68608546
HUMAN,A6NDU8,-0.19000721,9.177338,21.390985,3,0.00013659336,0.38109708,0.6383512
HUMAN,A6NED2,-0.5719261,9.16594,19.80026,3,0.00013659336,0.037848443,0.12346536
HUMAN,A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326,-0.0926218,11.442116,11.915034,3,0.00013659336,0.5136443,0.7019049
HUMAN,A6NHR9,-0.09578514,10.472964,7.997321,3,0.00013659336,0.33230004,0.6135675
HUMAN,A6NIH7,-0.32988644,8.332991,23.043406,3,0.00013659336,0.119852684,0.34012383
HUMAN,A6NJ78,-0.236516,8.548017,17.374817,3,0.00013659336,0.16633321,0.43553713
HUMAN,A8MPS7,-0.042645454,9.335249,9.739591,3,0.00013659336,0.68448925,0.8001492
HUMAN,A8MW92,0.03737068,9.089129,33.822857,3,0.00026406127,0.9078579,0.9447394
HUMAN,A8MXV4,-0.00836277,9.646444,15.1453495,3,0.00013659336,0.95012933,0.97217816
HUMAN,B3KNS4,-0.06095791,10.109173,10.008589,3,0.00013659336,0.47580555,0.68660486
HUMAN,C9J7I0,-0.10459137,8.030284,41.648457,3,0.00025059516,0.8087997,0.8814324
HUMAN,C9JLW8,-0.08450222,10.030045,23.33837,3,0.00013659336,0.6724554,0.7912818
HUMAN,E9PAV3,-0.10718727,11.923027,9.261922,3,0.00013659336,0.31306788,0.60510707
