Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,A0A024RBG1,-0.048773766,9.442331,7.0845265,3,0.000142572,0.46807683,0.62932175
HUMAN,A0AAG2UWQ9,-0.1016283,11.241425,9.145857,3,0.000142572,0.34268013,0.56429327
HUMAN,A0AVT1,-0.14346218,10.892205,9.358443,3,0.000142572,0.23045078,0.5106779
HUMAN,A0FGR8,-0.105374336,8.829393,11.475785,3,0.000142572,0.2890879,0.5400796
HUMAN,A0JLT2,-0.41559744,7.5636873,15.946622,3,0.000142572,0.0398593,0.16012755
HUMAN,A0MZ66,-0.02986908,10.178564,14.793172,3,0.000142572,0.83247674,0.8864346
HUMAN,A0PJW6,0.23925781,6.0104055,22.061169,3,0.000142572,0.3037174,0.5451211
HUMAN,A2RRP1,-0.11047554,9.912819,11.513643,3,0.000142572,0.2956355,0.5423605
HUMAN,A3KMH1,-0.32519436,9.955175,16.99478,3,0.000142572,0.101492934,0.34088206
HUMAN,A3KN83,-0.0653286,9.999004,8.857287,3,0.000142572,0.3939789,0.58592224
HUMAN,A4D1E9,-0.03384304,8.807538,15.405921,3,0.000142572,0.8173782,0.87550586
HUMAN,A4D1P6,-0.1472292,9.250067,30.129309,3,0.000142572,0.6252606,0.7348349
HUMAN,A5PLN9,-0.13809395,8.25234,35.024662,3,0.000142572,0.6718582,0.7680156
HUMAN,A5YKK6,-0.11288166,11.470332,11.378647,3,0.000142572,0.3702253,0.5778017
HUMAN,A6NCE7;Q9GZQ8,-0.12957764,9.509061,15.301285,3,0.000142572,0.3673483,0.5750266
HUMAN,A6NDG6,-0.13919353,10.094089,9.555284,3,0.000142572,0.17585906,0.46200377
HUMAN,A6NDU8,-0.33712864,9.1104765,21.390985,3,0.000142572,0.17950231,0.46563664
HUMAN,A6NED2,-0.30905342,9.277479,15.056476,3,0.000142572,0.11163341,0.36469308
HUMAN,A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326,-0.17477512,11.402941,11.866087,3,0.000142572,0.15339085,0.43451238
HUMAN,A6NHR9,-0.11263943,10.464841,8.167818,3,0.000142572,0.26941267,0.5302369
HUMAN,A6NIH7,-0.4396658,8.285377,20.254185,3,0.000142572,0.03886841,0.15660398
HUMAN,A6NJ78,-0.22362995,8.553947,8.443789,3,0.000142572,0.06720134,0.25225922
HUMAN,A8MPS7,-0.05887699,9.327275,8.173411,3,0.000142572,0.44230697,0.6132143
HUMAN,A8MXV4,-0.077703476,9.61229,15.1453495,3,0.000142572,0.6007888,0.7175565
HUMAN,B3KNS4,-0.10952568,10.085607,19.395178,3,0.000142572,0.49137518,0.64320874
HUMAN,C9J7I0,-0.09741449,8.033747,32.815628,3,0.00025059516,0.7873194,0.8532054
HUMAN,C9JLW8,0.02325058,10.083349,23.33837,3,0.000142572,0.9167414,0.9450315
HUMAN,E9PAV3,-0.09372997,11.929522,10.177865,3,0.000142572,0.39369953,0.5857926
HUMAN,E9PRG8,-0.023914337,10.421252,9.637461,3,0.000142572,0.8051948,0.86676097
HUMAN,L0R819,-0.10902405,9.9085045,14.417876,3,0.000142572,0.43054247,0.6069812
HUMAN,O00115,0.22351551,9.105627,15.438731,3,0.000142572,0.22910912,0.5106779
HUMAN,O00116,-0.07561207,10.408948,12.569013,3,0.000142572,0.55252266,0.6854249
HUMAN,O00139,-0.15839005,10.188382,10.387402,3,0.000142572,0.20762506,0.49465618
HUMAN,O00148,-0.1194582,12.889886,7.961111,3,0.000142572,0.23743248,0.51423675
HUMAN,O00151,-0.11969662,11.384302,11.843948,3,0.000142572,0.3247253,0.55651546
HUMAN,O00154,-0.13560963,10.55018,12.485918,3,0.000142572,0.28988427,0.54037917
HUMAN,O00159,-0.12840176,8.476018,5.738554,3,0.000142572,0.07085927,0.26306826
HUMAN,O00161,-0.13838673,9.774217,7.2469053,3,0.000142572,0.09114314,0.3180358
HUMAN,O00165,0.051177025,10.58375,19.189001,3,0.000142572,0.7459073,0.82299566
HUMAN,O00170,-0.042084694,9.311492,6.366361,3,0.000142572,0.50962776,0.65638936
HUMAN,O00178,-0.05297661,8.797695,12.751028,3,0.000142572,0.694787,0.78449947
HUMAN,O00186,-0.09922314,10.077428,7.3719573,3,0.000142572,0.20530817,0.4922133
HUMAN,O00193,0.024671555,8.088395,6.6403856,3,0.000142572,0.7160398,0.79995435
HUMAN,O00203,-0.0784502,10.757345,8.833273,3,0.000142572,0.40492505,0.59213173
HUMAN,O00214,0.08349037,9.398709,8.679519,3,0.00027401015,0.40713465,0.5937193
HUMAN,O00217,0.06973648,10.110268,10.63692,3,0.000142572,0.57732254,0.7003698
HUMAN,O00221,-0.36210632,8.5992565,8.063804,3,0.000142572,0.0074203573,0.03301788
HUMAN,O00231,-0.116384506,13.416837,9.199604,3,0.000142572,0.2880584,0.53931326
HUMAN,O00232,-0.104795456,11.837615,9.481859,3,0.000142572,0.2984052,0.54365754
HUMAN,O00233,-0.12561417,10.657355,14.592608,3,0.000142572,0.43219656,0.60760355
HUMAN,O00244,-0.12166691,9.780684,9.15697,3,0.000142572,0.269263,0.5302369
HUMAN,O00255,-0.072216034,9.6917515,13.161772,3,0.000142572,0.58507746,0.7057048
HUMAN,O00257,-0.5544405,9.744169,23.892235,3,0.000142572,0.084999934,0.30231014
HUMAN,O00264,0.05193615,8.900659,14.7699795,3,0.000142572,0.7021998,0.7896725
HUMAN,O00267,-0.14303303,10.747945,8.18785,3,0.000142572,0.16341867,0.44894105
HUMAN,O00268,-0.20407104,9.282066,14.982157,3,0.000142572,0.21152988,0.49842408
HUMAN,O00273,-0.11775875,9.919555,9.049281,3,0.000142572,0.23481072,0.512865
HUMAN,O00291,-0.288805,9.903332,24.080194,3,0.000142572,0.2413031,0.51547647
HUMAN,O00299,-0.055545807,13.195387,6.8860116,3,0.000142572,0.49687466,0.6475106
HUMAN,O00303,-0.09790516,11.668046,8.963632,3,0.000142572,0.27217808,0.5302977
HUMAN,O00308,0.1919508,9.689082,18.881887,3,0.00025783165,0.39318186,0.58543175
HUMAN,O00311,-0.012809753,8.298721,11.401505,3,0.000142572,0.90965164,0.94009864
HUMAN,O00330,-0.22791672,9.833606,15.323624,3,0.000142572,0.13568775,0.40979657
HUMAN,O00399,-0.038155556,9.813202,8.609625,3,0.000142572,0.7031536,0.79027
HUMAN,O00410,-0.13481998,12.116482,7.919284,3,0.000142572,0.17016609,0.4577813
HUMAN,O00411,-0.11922836,10.024178,11.462734,3,0.000142572,0.2730566,0.53072417
HUMAN,O00418,-0.1934948,9.0142145,15.93444,3,0.000142572,0.21440332,0.4997831
HUMAN,O00422,-0.27042484,11.249934,22.348654,3,0.000142572,0.28123608,0.5345572
HUMAN,O00425,-0.06458759,11.265833,7.8845224,3,0.000142572,0.4573136,0.62250805
HUMAN,O00429,-0.05851555,9.676598,11.4960375,3,0.000142572,0.6252279,0.7348349
HUMAN,O00442,-0.12906742,9.507066,10.354629,3,0.000142572,0.23884684,0.51456064
HUMAN,O00443,0.21374989,5.3634853,68.14419,3,0.0018290452,0.73660797,0.81568795
HUMAN,O00459,-0.16684723,9.844935,8.040852,3,0.000142572,0.07644199,0.2797061
HUMAN,O00461,-0.006576538,9.930344,13.344965,3,0.000142572,0.9588415,0.971787
HUMAN,O00471,-0.15159702,9.569682,10.566973,3,0.000142572,0.2261487,0.50812334
HUMAN,O00483,-0.08465862,9.997111,10.17589,3,0.000142572,0.40417627,0.5919891
