Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,A0A024RBG1,0.0013771057,9.417049,7.740225,3,0.000142572,0.9840643,0.99997884
HUMAN,A0AAG2UWQ9,0.00806427,11.185689,8.264423,3,0.000142572,0.9321917,0.99997884
HUMAN,A0AVT1,-0.014509201,10.825964,9.264722,3,0.000142572,0.8919201,0.99997884
HUMAN,A0FGR8,-0.066960335,8.809613,11.475785,3,0.000142572,0.5077233,0.99997884
HUMAN,A0JLT2,0.060757637,7.310916,19.970808,3,0.000142572,0.7716564,0.99997884
HUMAN,A0MZ66,-0.004073143,10.16559,8.620022,3,0.000142572,0.9596063,0.99997884
HUMAN,A2RRP1,-0.033655167,9.873449,11.513643,3,0.000142572,0.7994637,0.99997884
HUMAN,A3KMH1,-0.011041641,9.788966,17.917103,3,0.000142572,0.9441621,0.99997884
HUMAN,A3KN83,0.018051147,9.956973,9.151299,3,0.000142572,0.86269015,0.99997884
HUMAN,A4D1E9,0.06034088,8.760663,13.126193,3,0.000142572,0.6431115,0.99997884
HUMAN,A4D1P6,0.13584614,9.10825,30.129309,3,0.000142572,0.6276387,0.99997884
HUMAN,A5D8V6,0.23798132,7.4610004,10.828288,3,0.00026277755,0.10750393,0.38289395
HUMAN,A5PLN9,-0.11013985,8.237762,35.024662,3,0.000142572,0.69488555,0.99997884
HUMAN,A5YKK6,0.021759987,11.401949,9.411987,3,0.000142572,0.83702564,0.99997884
HUMAN,A6NCE7;Q9GZQ8,-0.03761387,9.461747,15.301285,3,0.000142572,0.768415,0.99997884
HUMAN,A6NDG6,-0.06025982,10.053258,8.720935,3,0.000142572,0.48008594,0.99997884
HUMAN,A6NDU8,-0.14712143,9.007523,13.922184,3,0.000142572,0.3411828,0.9117296
HUMAN,A6NED2,0.2628727,8.989235,19.80026,3,0.000142572,0.19747043,0.63167095
HUMAN,A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326,-0.08215332,11.354569,11.915034,3,0.000142572,0.44458607,0.99997884
HUMAN,A6NHL2,0.035661697,12.625399,7.6160045,3,0.000142572,0.6161717,0.99997884
HUMAN,A6NHR9,-0.016854286,10.415874,8.167818,3,0.000142572,0.8570509,0.99997884
HUMAN,A6NIH7,-0.10977936,8.104794,23.043406,3,0.000142572,0.6677044,0.99997884
HUMAN,A6NJ78,0.012886047,8.431375,17.374817,3,0.000142572,0.93485713,0.99997884
HUMAN,A8MPS7,-0.016231537,9.3056755,9.739591,3,0.000142572,0.84859455,0.99997884
HUMAN,A8MXV4,-0.069340706,9.608003,8.913489,3,0.000142572,0.44595724,0.99997884
HUMAN,B3KNS4,-0.048567772,10.054293,19.395178,3,0.000142572,0.7846508,0.99997884
HUMAN,C9J7I0,0.007176876,7.980634,41.648457,3,0.000142572,0.9861706,0.99997884
HUMAN,C9JLW8,0.1077528,10.042057,14.10674,3,0.000142572,0.39760423,0.99188143
HUMAN,E9PAV3,0.013457298,11.875182,10.177865,3,0.000142572,0.90497017,0.99997884
HUMAN,E9PRG8,-0.09552288,10.457797,11.190592,3,0.000142572,0.44999948,0.99997884
HUMAN,L0R819,-0.029634476,9.867857,14.033655,3,0.000142572,0.8162173,0.99997884
HUMAN,O00116,-0.011002541,10.376159,12.569013,3,0.000142572,0.9381794,0.99997884
HUMAN,O00139,-0.0050878525,10.109561,10.387402,3,0.000142572,0.9639632,0.99997884
HUMAN,O00148,0.0099105835,12.823974,9.431652,3,0.000142572,0.9218104,0.99997884
HUMAN,O00151,0.03159237,11.307503,11.843948,3,0.000142572,0.7884674,0.99997884
HUMAN,O00154,-0.035531044,10.498657,12.485918,3,0.000142572,0.7954193,0.99997884
HUMAN,O00159,0.12998962,8.346858,3.5124803,3,0.000142572,0.026136503,0.10572289
HUMAN,O00161,-0.10184765,9.755188,3.4938478,3,0.000142572,0.046367563,0.17756389
HUMAN,O00165,0.10508728,10.557525,13.78471,3,0.000142572,0.37654054,0.9656384
HUMAN,O00170,0.07523155,9.253171,10.825321,3,0.000142572,0.43605602,0.99997884
HUMAN,O00178,-0.07152176,8.807168,14.794902,3,0.000142572,0.6600195,0.99997884
HUMAN,O00186,-0.10753536,10.081733,12.013683,3,0.000142572,0.38484395,0.97423506
HUMAN,O00193,-0.0020694733,8.101713,6.6403856,3,0.000142572,0.9749617,0.99997884
