Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,A0AAG2UWQ9,-0.3028717,23.500132,2.5962894,3,8.336807e-5,0.00035856175,0.0009824907
HUMAN,A0AV96,-0.18870354,23.556765,6.9555655,3,8.336807e-5,0.03596153,0.04651622
HUMAN,A0AVF1,0.076438904,20.338146,26.856327,3,8.336807e-5,0.78750527,0.80603933
HUMAN,A0AVT1,-0.35645676,22.671381,2.9577875,3,8.336807e-5,0.00020014204,0.000644868
HUMAN,A0FGR8,-0.2606125,23.62293,0.9073202,3,8.336807e-5,8.809079e-6,0.00010292241
HUMAN,A0JLT2,-0.38597488,19.79019,7.7519274,3,8.336807e-5,0.009155258,0.01369483
HUMAN,A0JNW5,-0.1124382,21.56141,9.167791,3,8.336807e-5,0.18122384,0.20658107
HUMAN,A0MZ66,0.014951706,22.378647,2.2775276,3,8.336807e-5,0.5044319,0.5350582
HUMAN,A0PJW6,-0.4368782,21.866356,2.221724,3,8.336807e-5,3.190047e-5,0.00020419815
HUMAN,A0PK00,0.0172863,20.138165,10.745328,3,8.336807e-5,0.8865856,0.8970554
HUMAN,A1A4S6,-0.1544323,19.940025,12.938515,3,8.336807e-5,0.22550228,0.25331798
HUMAN,A1L0T0,-0.35655403,23.517189,2.1747854,3,8.336807e-5,0.00010353394,0.0004170163
HUMAN,A1L170,-0.20942307,20.732986,10.745192,3,8.336807e-5,0.088461,0.10636432
HUMAN,A1L188,-0.6672592,17.699682,10.431431,3,0.00023257617,0.0031019687,0.0054240907
HUMAN,A1L390,-0.30980682,25.758945,2.8013864,3,8.336807e-5,0.0002868454,0.0008368816
HUMAN,A1X283,-0.21817017,20.810165,3.9830122,3,8.336807e-5,0.0036322349,0.0061947186
HUMAN,A2A2Y4,-0.22804832,17.640799,16.227053,3,8.336807e-5,0.14365934,0.16653377
HUMAN,A2AJT9,-0.14920998,23.491055,13.374418,3,8.336807e-5,0.26865867,0.2984169
HUMAN,A2RRP1,-0.29226875,21.87938,3.9071875,3,8.336807e-5,0.0005662249,0.001389905
HUMAN,A2RTX5,0.22048569,18.49078,21.680428,3,0.00015651902,0.3449326,0.3761082
HUMAN,A2RU67,0.2734146,19.935257,5.269729,3,8.336807e-5,0.0077499677,0.011840288
HUMAN,A2RUC4,-0.18707848,20.730665,13.5193815,3,8.336807e-5,0.13801551,0.16049352
HUMAN,A2RUS2,-0.16303253,18.28965,20.840422,3,0.0004557539,0.42115605,0.45321774
HUMAN,A3KMH1,-0.23685837,23.346373,2.0324707,3,8.336807e-5,0.00040042604,0.0010660253
